ACCESSION_NUMBER,HOLDING_ID,FILENAME_TIMESTAMP,FILING_DATE,ISSUER_NAME,ISSUER_LEI,ISSUER_TITLE,ISSUER_CUSIP,BALANCE,UNIT,OTHER_UNIT_DESC,CURRENCY_CODE,CURRENCY_VALUE,EXCHANGE_RATE,PERCENTAGE,PAYOFF_PROFILE,ASSET_CAT,OTHER_ASSET,ISSUER_TYPE,OTHER_ISSUER,INVESTMENT_COUNTRY,IS_RESTRICTED_SECURITY,FAIR_VALUE_LEVEL,DERIVATIVE_CAT,YYYYQQ,SUBMISSION_FILE_NUM,SUBMISSION_SUB_TYPE,SUBMISSION_IS_LAST_FILING,SUBMISSION_REPORT_ENDING_PERIOD,SUBMISSION_REPORT_DATE,SUBMISSION_FILING_DATE,REGISTRANT_CIK,REGISTRANT_REGISTRANT_NAME,REGISTRANT_FILE_NUM,REGISTRANT_LEI,REGISTRANT_ADDRESS1,REGISTRANT_ADDRESS2,REGISTRANT_CITY,REGISTRANT_STATE,REGISTRANT_COUNTRY,REGISTRANT_ZIP,REGISTRANT_PHONE,FUND_REPORTED_INFO_SERIES_NAME,FUND_REPORTED_INFO_SERIES_ID,FUND_REPORTED_INFO_SERIES_LEI,FUND_REPORTED_INFO_TOTAL_ASSETS,FUND_REPORTED_INFO_TOTAL_LIABILITIES,FUND_REPORTED_INFO_NET_ASSETS,FUND_REPORTED_INFO_ASSETS_ATTRBT_TO_MISC_SECURITY,FUND_REPORTED_INFO_ASSETS_INVESTED,FUND_REPORTED_INFO_BORROWING_PAY_WITHIN_1YR,FUND_REPORTED_INFO_CTRLD_COMPANIES_PAY_WITHIN_1YR,FUND_REPORTED_INFO_OTHER_AFFILIA_PAY_WITHIN_1YR,FUND_REPORTED_INFO_OTHER_PAY_WITHIN_1YR,FUND_REPORTED_INFO_BORROWING_PAY_AFTER_1YR,FUND_REPORTED_INFO_CTRLD_COMPANIES_PAY_AFTER_1YR,FUND_REPORTED_INFO_OTHER_AFFILIA_PAY_AFTER_1YR,FUND_REPORTED_INFO_OTHER_PAY_AFTER_1YR,FUND_REPORTED_INFO_DELAYED_DELIVERY,FUND_REPORTED_INFO_STANDBY_COMMITMENT,FUND_REPORTED_INFO_LIQUIDATION_PREFERENCE,FUND_REPORTED_INFO_CASH_NOT_RPTD_IN_C_OR_D,FUND_REPORTED_INFO_CREDIT_SPREAD_3MON_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_1YR_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_5YR_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_10YR_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_30YR_INVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_3MON_NONINVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_1YR_NONINVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_5YR_NONINVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_10YR_NONINVEST,FUND_REPORTED_INFO_CREDIT_SPREAD_30YR_NONINVEST,FUND_REPORTED_INFO_IS_NON_CASH_COLLATERAL,FUND_REPORTED_INFO_NET_REALIZE_GAIN_NONDERIV_MON1,FUND_REPORTED_INFO_NET_UNREALIZE_AP_NONDERIV_MON1,FUND_REPORTED_INFO_NET_REALIZE_GAIN_NONDERIV_MON2,FUND_REPORTED_INFO_NET_UNREALIZE_AP_NONDERIV_MON2,FUND_REPORTED_INFO_NET_REALIZE_GAIN_NONDERIV_MON3,FUND_REPORTED_INFO_NET_UNREALIZE_AP_NONDERIV_MON3,FUND_REPORTED_INFO_SALES_FLOW_MON1,FUND_REPORTED_INFO_REINVESTMENT_FLOW_MON1,FUND_REPORTED_INFO_REDEMPTION_FLOW_MON1,FUND_REPORTED_INFO_SALES_FLOW_MON2,FUND_REPORTED_INFO_REINVESTMENT_FLOW_MON2,FUND_REPORTED_INFO_REDEMPTION_FLOW_MON2,FUND_REPORTED_INFO_SALES_FLOW_MON3,FUND_REPORTED_INFO_REINVESTMENT_FLOW_MON3,FUND_REPORTED_INFO_REDEMPTION_FLOW_MON3,INTEREST_RATE_RISK_INTEREST_RATE_RISK_ID,INTEREST_RATE_RISK_CURRENCY_CODE,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_3MON_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_1YR_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_5YR_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_10YR_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_30YR_DV01,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_3MON_DV100,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_1YR_DV100,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_5YR_DV100,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_10YR_DV100,INTEREST_RATE_RISK_INTRST_RATE_CHANGE_30YR_DV100,BORROWER_BORROWER_ID,BORROWER_NAME,BORROWER_LEI,BORROWER_AGGREGATE_VALUE,BORROW_AGGREGATE_BORROW_AGGREGATE_ID,BORROW_AGGREGATE_AMOUNT,BORROW_AGGREGATE_COLLATERAL,BORROW_AGGREGATE_INVESTMENT_CAT,BORROW_AGGREGATE_OTHER_DESC,MONTHLY_TOTAL_RETURN_MONTHLY_TOTAL_RETURN_ID,MONTHLY_TOTAL_RETURN_CLASS_ID,MONTHLY_TOTAL_RETURN_MONTHLY_TOTAL_RETURN1,MONTHLY_TOTAL_RETURN_MONTHLY_TOTAL_RETURN2,MONTHLY_TOTAL_RETURN_MONTHLY_TOTAL_RETURN3,MONTHLY_RETURN_CAT_INSTRUMENT_ASSET_CAT,MONTHLY_RETURN_CAT_INSTRUMENT_INSTRUMENT_KIND,MONTHLY_RETURN_CAT_INSTRUMENT_NET_REALIZED_GAIN_MON1,MONTHLY_RETURN_CAT_INSTRUMENT_NET_UNREALIZED_AP_MON1,MONTHLY_RETURN_CAT_INSTRUMENT_NET_REALIZED_GAIN_MON2,MONTHLY_RETURN_CAT_INSTRUMENT_NET_UNREALIZED_AP_MON2,MONTHLY_RETURN_CAT_INSTRUMENT_NET_REALIZED_GAIN_MON3,MONTHLY_RETURN_CAT_INSTRUMENT_NET_UNREALIZED_AP_MON3,IDENTIFIERS_IDENTIFIERS_ID,IDENTIFIERS_IDENTIFIER_ISIN,IDENTIFIERS_IDENTIFIER_TICKER,IDENTIFIERS_OTHER_IDENTIFIER,IDENTIFIERS_OTHER_IDENTIFIER_DESC
0001752724-19-183769,16985002,1546329600,2019-11-27,CITADEL SECURITIES LP,,CITADEL SECURITIES LP 2/27/2026,17288YAB8,1422850.0,PA,,USD,1426407.13,,0.041791739781,Long,LON,,OTHER,,XX,N,2.0,,2019Q3,,NPORT-P,N,30-SEP-2019,30-SEP-2019,27-NOV-2019,1026977,City National Rochdale Funds,811-07923,549300QMC7FYNN5LU818,400 NORTH ROXBURY DRIVE,,BEVERLY HILLS,US-CA,US,90210,8007088881,CITY NATIONAL ROCHDALE FIXED INCOME OPPORTUNITIES FUND,S000039723,549300OYV3O0YZ7U4D17,3474153563.14,61021835.56,3413131727.58,0.0,167768622.67,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7469134.5,-173.04162206,-9376.14687082,-57877.78553421,-37842.42896367,-9314.51215848,-9494.19198681,-187278.68601471,-300993.69802806,-135062.07474151,-94577.24340267,N,-10629333.53,27753619.84,-9581923.9,-98501986.72,4190156.34,1981272.67,97301335.01,45258837.33,-47993861.86,95075402.71,0.0,-26858128.59,104183012.47,0.0,-41716822.7,51571.0,EUR,-111.32475977,-19646.79424285,-23463.398517,-4895.69778102,-2713.78108499,141011.57277495,-911108.58593754,-1431001.49385827,-398258.50648111,-193735.3449861,,,,,,,,,,131868,C000123069,1.26955,-2.483974,0.930044,,,,,,,,,,,,,
0001752724-19-167087,15294841,1546329600,2019-11-19,CITADEL SECURITIES LLC,12UUJYTN7D3SW8KCSG25,CITADEL SECURITIES LLC,000000000,1000000.0,PA,,USD,1000000.0,,0.988324160249,Long,RA,,CORP,,US,N,2.0,,2020Q1,,NPORT-P,N,31-MAR-2020,30-SEP-2019,19-NOV-2019,1392116,Voya Separate Portfolios Trust,811-22025,549300ZK3E04XAD4QG44,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,US-AZ,US,85258,1-800-992-0180,VOYA EMERGING MARKETS CORPORATE DEBT FUND,S000037123,5493007WQXO53JSF1B65,106756498.93,5575121.38,101181377.55,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,498450.0,0.0,0.0,150159.78,0.0,541.0,14282.0,13712.0,5585.0,0.0,1168.0,7694.0,4411.0,2335.0,N,36003.66,580909.86,-286492.14,-196931.83,60627.25,377538.05,0.0,412851.29,0.0,0.0,436872.76,0.0,0.0,441260.25,0.0,45975.0,USD,197.0,5692.0,21824.0,6608.0,5037.0,19737.0,569228.0,2182354.0,660833.0,503690.0,116147.0,BNP Paribas,R0MUWSFPU8MPRO8K5P83,593550.0,,,,,,119140,C000114260,0.010366,-0.0025926,0.0092419,,,,,,,,,,,,,
0001752724-19-168195,15359057,1546329600,2019-11-19,CITADEL LP,,Citadel LP,17288XAB0,605000.0,PA,,USD,616967.13,,0.200152700153,Long,DBT,,CORP,,US,N,2.0,,2019Q3,,NPORT-P,N,30-SEP-2019,30-SEP-2019,19-NOV-2019,1005020,Virtus Opportunities Trust,811-07455,549300O4C4QVD88M4N75,101 Munson Street,,Greenfield,US-MA,US,01301-9668,800-243-1574,Virtus Newfleet Multi-Sector Intermediate Bond Fund,S000018007,54930074FSU5OSE8F706,314631746.26,6383529.01,308248217.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,35000.0,0.0,0.0,3743866.62,0.0,-132.0,-3704.0,-42978.0,-45181.0,0.0,-45.0,-8088.0,-33511.0,-9603.0,N,-82603.53,772846.83,-1264206.58,2393772.91,542038.08,-1580441.76,15636574.69,688556.02,-5165424.45,20612719.0,746436.72,-15407273.9,11709279.28,829827.14,-4920775.92,46141.0,USD,0.0,-373.0,-9256.0,-69976.0,-49010.0,0.0,-37306.0,-925573.0,-6997594.0,-4901011.0,116394.0,Wells Fargo Securities LLC,VYVVCKR63DVZZN70PB21,221422.96,,,,,,119688,C000148855,0.6637,0.7832,-0.0681,,,,,,,,,,,,,
0001752724-19-167802,15363494,1546329600,2019-11-19,CITADEL SECURITIES LP,549300NV5RXBUS3X7L47,Citadel Securities LP,17288YAB8,2199024.812,PA,,USD,2208645.55,,2.043658537538,Long,LON,,CORP,,US,N,3.0,,2019Q3,,NPORT-P,N,30-SEP-2019,30-SEP-2019,19-NOV-2019,1068963,Western Asset Corporate Loan Fund Inc.,811-08985,549300M7IY2PB1ZQW476,620 Eighth Avenue,49th Floor,New York,US-NY,US,10018,1-888-777-0102,Western Asset Corporate Loan Fund Inc.,,549300M7IY2PB1ZQW476,178569912.52,70496792.21,108073120.31,0.0,0.0,51000000.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,948388.63,0.0,0.0,0.0,0.0,0.0,-1506.91,19832.19,16889.04,767.18,18.72,N,-157848.81,597377.71,-39010.73,-808565.59,-480413.52,417333.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46144.0,USD,1634.51,150.61,88.28,705.81,23.12,163450.53,15061.21,8827.69,70580.7,2311.65,,,,,,,,,,119726,C000000000,1.81,-2.25,1.63,,,,,,,,,,,,,
0001752724-19-171527,15437508,1546329600,2019-11-20,CITADEL LP,,Citadel LP,17288XAB0,75000.0,PA,,USD,76682.22,,0.105360014652,Long,DBT,,CORP,,US,N,2.0,,2020Q2,,NPORT-P,N,30-JUN-2020,30-SEP-2019,20-NOV-2019,1408970,AdvisorShares Trust,811-22110,549300K5KGUMX2I7WM68,4800 Montgomery Lane,Suite 150,Bethesda,US-MD,US,20814,877-843-3831,AdvisorShares Newfleet Multi-Sector Income ETF,S000038247,549300TXPL8N66JNJ546,74785088.19,2003947.97,72781140.22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,331.34501,5908.73736,8193.86722,834.83927,60.57834,31.83524,729.74961,960.10563,231.07531,0.0,N,2276.72,-71057.62,74790.45,231256.68,13760.74,-119090.81,0.0,0.0,-2418415.68,0.0,0.0,0.0,0.0,0.0,0.0,46416.0,USD,605.70034,4374.15711,6134.98801,1866.50778,277.31023,60570.03236,437415.71654,613498.8021,186650.76982,27731.01926,116867.0,WEDBUSH SECURITIES INC,549300CSX55MXZ47EI78,99066.948,,,,,,120340,C000117922,0.15,0.68,0.07,,,,,,,,,,,,,
0001752724-19-203723,18144641,1546329600,2019-12-26,Citadel Limited Partnership,,Citadel LP,17288XAA2,5000000.0,PA,,USD,5283971.45,,0.815421514447,Long,DBT,,CORP,,US,Y,2.0,,2020Q1,,NPORT-P,N,31-JAN-2020,31-OCT-2019,26-DEC-2019,764859,American Pension Investors Trust,811-04262,549300XN7GOBVVCYXP64,2303 Yorktown Ave.,,Lynchburg,US-VA,US,24501,434-846-1361,YORKTOWN MULTI-ASSET INCOME,S000008428,549300TQ0FG3E0K65587,652703937.43,4699027.53,648004909.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,7196.678835,3126.466746,14872.008535,31067.935702,44433.699928,1573.430712,17641.776932,33820.64659,15874.085423,23214.570823,N,-1592140.38,-7506340.34,-3986650.35,11219522.39,-557313.5,5689348.75,7685312.44,2019934.89,17836063.92,8608348.44,1927248.67,13785718.63,11382621.66,1637620.89,12644442.41,54864.0,CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,141397,C000169022,-0.02011325,0.00433755,0.00137881,,,,,,,,,,,,,
0001752724-19-203723,18144714,1546329600,2019-12-26,Citadel Limited Partnership,,Citadel LP,17288XAB0,3000000.0,PA,,USD,3142254.57,,0.484912154521,Long,DBT,,CORP,,US,Y,2.0,,2020Q1,,NPORT-P,N,31-JAN-2020,31-OCT-2019,26-DEC-2019,764859,American Pension Investors Trust,811-04262,549300XN7GOBVVCYXP64,2303 Yorktown Ave.,,Lynchburg,US-VA,US,24501,434-846-1361,YORKTOWN MULTI-ASSET INCOME,S000008428,549300TQ0FG3E0K65587,652703937.43,4699027.53,648004909.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,7196.678835,3126.466746,14872.008535,31067.935702,44433.699928,1573.430712,17641.776932,33820.64659,15874.085423,23214.570823,N,-1592140.38,-7506340.34,-3986650.35,11219522.39,-557313.5,5689348.75,7685312.44,2019934.89,17836063.92,8608348.44,1927248.67,13785718.63,11382621.66,1637620.89,12644442.41,54864.0,CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,141397,C000169022,-0.02011325,0.00433755,0.00137881,,,,,,,,,,,,,
0001145549-19-053798,18122493,1546329600,2019-12-27,CITADEL LP,,Citadel LP,17288XAA2,2000000.0,PA,,USD,2113588.58,,0.0274349643,Long,DBT,,CORP,,US,N,2.0,,2020Q1,,NPORT-P,N,31-JAN-2020,31-OCT-2019,27-DEC-2019,1612930,Angel Oak Funds Trust,811-22980,549300DGLMLNBVBKK655,3060 Peachtree Road NW,Suite 500,Atlanta,US-GA,US,30305,404-953-4900,Angel Oak Multi-Strategy Income Fund,S000048360,549300CILF354466HZ11,8092654417.5,388658319.34,7703996098.16,0.0,0.0,250000000.0,0,0.0,0.0,0.0,0,0,0,30379420.3,0.0,0.0,54136539.63,188335.45,117665.52,169036.7,127507.35,10223.44,560730.63,730752.45,565974.95,314634.73,195700.69,N,7165586.11,32825881.22,-318062.92,-41707606.04,7093359.35,7239663.15,241092280.41,23474652.69,-264789252.14,244684853.48,22255616.76,-261302798.11,259786888.23,21740977.86,-266048103.54,54774.0,USD,429170.27,576159.73,446091.78,632229.89,370123.87,42917024.59,57615970.65,44609180.83,63222984.51,37012393.77,,,,,,,,,,140997,C000152733,0.73,-0.27,0.55,,,,,,,,,,,,,
0001752724-19-203583,18140081,1546329600,2019-12-26,Citadel Limited Partnership,,CITADL 4 7/8 01/15/27,17288XAB0,985000.0,PA,,USD,1031707.39,,1.254207559811,Long,DBT,,CORP,,US,Y,2.0,,2019Q4,,NPORT-P,N,31-OCT-2019,31-OCT-2019,26-DEC-2019,1420040,Dunham Funds,811-22153,549300FI2C3SP4YCHL80,10251 VISTA SORRENTO PARKWAY,SUITE 200,SAN DIEGO,US-CA,US,92121,858-964-0500,Dunham Long/Short Credit Fund,S000020975,549300HNTJP4LP1J7Y67,100294288.99,18034587.88,82259701.11,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,33.194204,117.428452,2305.187143,7608.029909,7051.660715,43.177502,532.995948,3752.701866,3983.619737,104.516911,N,1066046.66,19622.47,65645.07,-135339.06,152427.27,-139843.16,841404.26,149129.86,-746063.25,1045873.1,142968.57,-1139427.67,9527692.93,117466.79,-833888.93,54847.0,USD,938.537744,562.745021,4815.580335,11950.622627,15439.050565,94238.498721,55271.705707,484043.57754,1205864.74502,1591465.063799,,,,,,,,,,141325,C000059521,0.59,0.11,0.2,,,,,,,,,,,,,
0001752724-19-177012,15812538,1546329600,2019-11-25,CITADEL SECURITIES LLC,12UUJYTN7D3SW8KCSG25,CITADEL SECURITIES LLC,000000000,1564366.0,PA,,USD,1564366.0,,0.193831672725,Long,RA,,CORP,,US,N,2.0,,2019Q4,,NPORT-P,N,31-DEC-2019,30-SEP-2019,25-NOV-2019,837276,Voya Investors Trust,811-05629,549300LPMGZECCP9KQ67,7337 East Doubletree Ranch Road,Suite 100,Scottsdale,US-AZ,US,85258,1-800-366-0066,VY(R) T. ROWE PRICE EQUITY INCOME PORTFOLIO,S000005760,549300WK7MVJB52XP460,814720272.82,7645774.62,807074498.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2393035.44,,,,,,,,,,,N,5019934.29,4240459.36,4677923.65,-29534261.04,3349600.01,24595942.79,3207971.28,81067352.58,-13849029.54,1393062.5,0.0,-10269688.63,1076761.59,0.0,-9873027.04,,,,,,,,,,,,,119539.0,Scotia Capital (USA) INC,549300BLWPABP1VNME36,3120939.47,,,,,,123506,C000015828,0.0132548,-0.0283993,0.0389725,,,,,,,,,,,,,
