Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
513198491,512083388.0,MODI,TRAD,2022-12-28T21:37:13Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-03T20:59:31Z,2021-12-03,2023-01-03,,False,BILT,,,,"530,000",,USD,,,,"30,000",,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,17.8503507,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
512127397,511148448.0,MODI,TRAD,2022-12-28T00:50:09Z,True,EQ,Equity:ContractForDifference:PriceReturnBasicPerformance:SingleName,N,,2022-12-21T22:22:14Z,2022-12-23,2032-12-23,,False,XXXX,,,,"52,000",,USD,,,,"19,000",,,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,2.70819842272,ACCY,,,,,,,True,USD,1.0,,4.0,,,,,A004,,,,,,,,,MNTH,,,,1.0,,,USD,,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
512127398,,NEWT,TRAD,2022-12-28T00:50:13Z,,EQ,Equity:ContractForDifference:PriceReturnBasicPerformance:SingleName,N,,2022-12-22T22:18:46Z,2022-12-27,2032-12-24,,False,XXXX,,,,"49,000",,USD,,,,"20,000",,,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,2.5081813315,ACCY,,,,,,,True,USD,1.0,,4.0,,,,,A004,,,,,,,,,MNTH,,,,1.0,,,USD,,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
513223278,,NEWT,TRAD,2022-12-28T22:03:33Z,,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2022-12-28T22:03:33Z,2022-12-28,9999-12-31,,False,BILT,,,,"4,400","4,400",USD,USD,,,"1,800","1,819",,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,2.39652749,ACCY,,,,,,,False,USD,1.0,,,,,,,A004,,DAIL,,1.0,,,,,MNTH,,,,1.0,,,USD,USD,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
513231157,511105343.0,MODI,TRAD,2022-12-28T22:11:51Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2022-08-24T22:03:01Z,2022-08-24,2024-08-16,,False,BILT,,,,"600,000",,USD,,,,"58,000",,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,10.3825848,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
513174468,512059931.0,MODI,TRAD,2022-12-28T21:25:55Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2022-08-26T19:09:34Z,2022-08-26,2023-03-06,,False,BILT,,,,"2,100",,MXN,,,,10,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,209.87343,ACCY,,,,,,,False,MXN,1.0,,,,,,,,,,,,,,,,,,,,,,,MXN,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
513178660,512062968.0,MODI,TRAD,2022-12-28T21:27:21Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2022-11-23T20:40:33Z,2022-11-23,2023-03-15,,False,BILT,,,,5,,USD,,,,5,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,3.35244,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
513053111,,NEWT,TRAD,2022-12-28T18:19:09Z,,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2022-12-28T18:19:09Z,2022-12-28,9999-12-31,,False,BILT,,,,"1,300","1,300",EUR,EUR,,,540,563,,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,2.39851477855,ACCY,,,,,,,False,EUR,1.0,,,,,,,A004,,DAIL,,1.0,,,,,MNTH,,,,1.0,,,EUR,EUR,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
513288004,512127398.0,MODI,TRAD,2022-12-29T00:35:53Z,True,EQ,Equity:ContractForDifference:PriceReturnBasicPerformance:SingleName,N,,2022-12-22T22:18:46Z,2022-12-27,2032-12-24,,False,XXXX,,,,"49,000",,USD,,,,"20,000",,,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,2.5081813315,ACCY,,,,,,,True,USD,1.0,,4.0,,,,,A004,,,,,,,,,MNTH,,,,1.0,,,USD,,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
514275861,513198491.0,MODI,TRAD,2022-12-29T21:37:15Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-03T20:59:31Z,2021-12-03,2023-01-03,,False,BILT,,,,"560,000",,USD,,,,"31,000",,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,17.8803261,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
