Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Call amount,Call currency,Put amount,Put currency,Settlement location,Unique Product Identifier,UPI FISN,UPI Underlier Name
588399223,496516262.0,MODI,TRAD,2023-04-01T21:48:16Z,False,CR,Credit:TotalReturnSwap,N,,2021-01-29T21:00:07Z,2021-01-29,2024-05-31,,False,XOFF,,,,"3,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99875,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,,,,,,False,,LX192261,,SingleOther,Citadel Securities LP,,,,,,False,,,,,,,,,,,,,,,,
588399073,465928783.0,MODI,TRAD,2023-04-01T21:48:38Z,False,CR,Credit:TotalReturnSwap,N,,2021-01-29T21:00:07Z,2021-01-29,2024-05-31,,False,XOFF,,,,"3,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99875,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,,,,,,False,,LX192261,,SingleOther,Citadel Securities LP,,,,,,False,,,,,,,,,,,,,,,,
678231362,588399223.0,MODI,TRAD,2023-07-01T19:09:56Z,False,CR,Credit:TotalReturnSwap,N,,2021-01-29T21:00:07Z,2021-01-29,2024-05-31,,False,XOFF,,,,"3,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99875,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,,,,,,False,,LX192261,,SingleOther,Citadel Securities LP,,,,,,False,,,,,,,,,,,,,,,,
678231813,588399073.0,MODI,TRAD,2023-07-01T19:10:54Z,False,CR,Credit:TotalReturnSwap,N,,2021-01-29T21:00:07Z,2021-01-29,2024-05-31,,False,XOFF,,,,"3,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99875,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,,,,,,False,,LX192261,,SingleOther,Citadel Securities LP,,,,,,False,,,,,,,,,,,,,,,,
690286928,678231362.0,MODI,TRAD,2023-07-14T15:26:16Z,True,CR,Credit:TotalReturnSwap,N,,2021-01-29T21:00:07Z,2021-01-29,2025-05-31,,False,XOFF,,,,"3,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99875,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,,,,,,False,,LX192261,,SingleOther,Citadel Securities LP,,,,,,False,,,,,,,,,,,,,,,,
690287410,678231813.0,MODI,TRAD,2023-07-14T15:26:25Z,True,CR,Credit:TotalReturnSwap,N,,2021-01-29T21:00:07Z,2021-01-29,2025-05-31,,False,XOFF,,,,"3,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99875,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,,,,,,False,,LX192261,,SingleOther,Citadel Securities LP,,,,,,False,,,,,,,,,,,,,,,,
706541711,690287410.0,TERM,ETRM,2023-08-02T14:00:36Z,,CR,Credit:TotalReturnSwap,N,,2021-01-29T21:00:07Z,2021-01-29,2025-05-31,,False,XOFF,,,,5,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99875,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,,,,,,False,,LX192261,,SingleOther,Citadel Securities LP,,,,,,False,,,,,,,,,,,,,,,,
706541712,690286928.0,TERM,ETRM,2023-08-02T14:00:35Z,,CR,Credit:TotalReturnSwap,N,,2021-01-29T21:00:07Z,2021-01-29,2025-05-31,,False,XOFF,,,,5,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99875,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,,,,,,False,,LX192261,,SingleOther,Citadel Securities LP,,,,,,False,,,,,,,,,,,,,,,,
1362558515,,NEWT,TRAD,2025-02-05T19:26:55Z,False,CR,,N,,2025-02-05T19:26:55Z,2025-02-05,2027-04-25,,False,XOFF,,,,"630,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00625,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZ17LZJH5TTG,NA/CDS Corp SN,TRANCHE # TR 00578 VAR DTD 02/05/2021
1362558516,1362558515.0,TERM,ETRM,2025-02-05T19:26:56Z,,CR,,N,,2025-02-05T19:26:55Z,2025-02-05,2027-04-25,,False,XOFF,,,,5,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00625,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZ17LZJH5TTG,NA/CDS Corp SN,TRANCHE # TR 00578 VAR DTD 02/05/2021
1364859273,,NEWT,TRAD,2025-02-06T17:33:03Z,False,CR,,N,,2025-02-06T17:33:03Z,2025-02-06,2027-04-25,,False,XOFF,,,,"2,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005625,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZ17LZJH5TTG,NA/CDS Corp SN,TRANCHE # TR 00578 VAR DTD 02/05/2021
1393757815,1364859273.0,CORR,,2025-02-24T19:13:24Z,False,CR,,N,,2025-02-06T17:33:03Z,2025-02-06,2027-04-25,,False,XOFF,,,,"2,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005625,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZWMKJ4T6BR0,NA/CDS Corp SN,No name obtainable
1428000153,1362558515.0,CORR,,2025-02-05T19:26:55Z,False,CR,,N,,2025-02-05T19:26:55Z,2025-02-05,2027-04-25,,False,XOFF,,,,"630,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00625,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZ17LZJH5TTG,NA/CDS Corp SN,TRANCHE # TR 00578 VAR DTD 02/05/2021
1452340700,1364859273.0,MODI,TRAD,2025-04-01T19:25:32Z,True,CR,,N,,2025-02-06T17:33:03Z,2025-02-06,2027-04-25,,False,XOFF,,,,"2,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005625,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZWMKJ4T6BR0,NA/CDS Corp SN,No name obtainable
1452341315,1364859273.0,MODI,TRAD,2025-04-01T19:29:45Z,True,CR,,N,,2025-02-06T17:33:03Z,2025-02-06,2027-04-25,,False,XOFF,,,,"990,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005625,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZWMKJ4T6BR0,NA/CDS Corp SN,No name obtainable
1465708122,,NEWT,TRAD,2025-04-09T14:40:25Z,False,CR,,N,,2025-04-09T14:40:25Z,2025-04-09,2027-04-25,,False,XOFF,,,,"1,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZ17LZJH5TTG,NA/CDS Corp SN,TRANCHE # TR 00578 VAR DTD 02/05/2021
1498874844,1364859273.0,TERM,ETRM,2025-05-01T20:03:40Z,,CR,,N,,2025-02-06T17:33:03Z,2025-02-06,2027-04-25,,False,XOFF,,,,5,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005625,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZWMKJ4T6BR0,NA/CDS Corp SN,No name obtainable
1498875090,1465708122.0,TERM,ETRM,2025-05-01T20:03:40Z,,CR,,N,,2025-04-09T14:40:25Z,2025-04-09,2027-04-25,,False,XOFF,,,,5,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZ17LZJH5TTG,NA/CDS Corp SN,TRANCHE # TR 00578 VAR DTD 02/05/2021
1677598941,,NEWT,TRAD,2025-08-21T18:22:18Z,False,CR,,N,,2025-08-21T18:22:18Z,2025-08-21,2027-04-25,,False,XOFF,,,,"800,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0029,,USD,,,,False,,,3.0,,,A004,,,,,,,,,MNTH,,,,1.0,,,,,,USD,,,,,False,,US17288YAN22,,ISIN,Citadel Securities Global Holdings LLC,,,,,,False,,,,,,,,,,,,,,QZ17LZJH5TTG,NA/CDS Corp SN,TRANCHE # TR 00578 VAR DTD 02/05/2021
